experiment_id,slice_type,slice_value,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage1_60s_causal_tcn_linear,fms_bin,10-15,29806,2.9959068505235558,3.6309697152927143,-6.85564291047671,0.05138299181137116,0.054826592324623655,-2.8940365897082896,0.31563967366893636
stage1_60s_causal_tcn_linear,fms_bin,15-20,24230,8.168728809897477,8.496843997208352,-19.672765373853014,0.07331887021907578,0.04559456202485779,-8.168728809897477,0.6312397577358935
stage1_60s_causal_tcn_linear,missing_slice,complete_dynamic,134866,3.9244311256020095,4.830864095339324,0.12615153517458522,0.3580635257757081,0.34380964396147445,-0.028302319687201774,0.591114293396744
stage1_60s_causal_tcn_linear,missing_slice,missing_dynamic,17459,4.927307906634308,5.76102538357872,0.07951062084560967,0.28606738399578124,0.26754397410230013,0.2684742601941034,0.6144952207585934
stage2_10s_lstm,fms_bin,0-5,68537,3.4830162281595185,4.2258735393731754,-8.23449610404172,0.3549577258965195,0.34956660554576646,3.3714521617044744,1.1846682388015408
stage2_10s_lstm,fms_bin,5-10,66541,2.488534741890237,2.8994460187677404,-4.4091263694893685,0.11674068025918484,0.10896946879186337,0.9350253500774277,0.3804027959370411
stage2_10s_lstm,fms_bin,10-15,32361,3.3743205240684078,4.17370938077854,-9.248728924794639,0.04812280194274304,0.05811927308890698,-3.3058598464648017,0.37608071685113237
stage2_10s_lstm,fms_bin,15-20,24780,8.240994117830528,8.587769520544299,-20.37845507468831,0.12436285803550669,0.0960991782773797,-8.240994117830528,0.6467611483082941
stage2_10s_lstm,missing_slice,complete_dynamic,183231,3.6688449542343817,4.592206612307627,0.2425595889915122,0.4945701977987974,0.5045842642976703,-0.09434525467481289,0.7070587998491747
stage2_10s_lstm,missing_slice,missing_dynamic,8988,5.058652024853744,5.877893885284587,0.014663211204736348,0.1624145500239064,0.020849684328736604,-0.06887524985821447,0.5727623392436573
stage2_10s_causal_tcn,fms_bin,0-5,68537,3.547148780258894,4.265446992779665,-8.408259939998958,0.36700833720151343,0.36231335285481225,3.4606479916444974,1.1899349688103036
stage2_10s_causal_tcn,fms_bin,5-10,66541,2.377487961087475,2.832982141348297,-4.1639823135971445,0.1075116232396801,0.09652386021641143,0.9126302625722672,0.3602903702240914
stage2_10s_causal_tcn,fms_bin,10-15,32361,3.4847054790682073,4.208474524384113,-9.42017470809761,0.053912952619452253,0.06366681135890696,-3.373269240035656,0.38613574708808635
stage2_10s_causal_tcn,fms_bin,15-20,24780,8.321326373275776,8.661737913007078,-20.748315986043185,0.13197178525308564,0.11207959381991779,-8.321326373275776,0.654307730780479
stage2_10s_causal_tcn,missing_slice,complete_dynamic,183231,3.6843327182685126,4.6159719232521335,0.2346995832214116,0.4860549823819357,0.4994064418944995,-0.08179068586903368,0.7045385614228578
stage2_10s_causal_tcn,missing_slice,missing_dynamic,8988,5.028751180258973,5.864900041465991,0.019014824521990215,0.17862635304459207,0.11594065687821868,-0.2746420270292081,0.5724114168466949
stage3_high_standard_huber_lstm,fms_bin,0-5,68537,2.886239145529491,3.6678194822729253,-5.9565853111920415,0.36177116434551454,0.3583165945043251,2.6659937917001044,1.1458202906499357
stage3_high_standard_huber_lstm,fms_bin,5-10,66541,2.2850726660242997,2.721023397162128,-3.7638889023271522,0.11788141780287631,0.11587373507431854,0.22922474130314288,0.38638395593513997
stage3_high_standard_huber_lstm,fms_bin,10-15,32361,4.058775950104752,4.763806898745559,-12.351617849390545,0.044904304731078294,0.04379541522238398,-4.036853084430195,0.46589376977045094
stage3_high_standard_huber_lstm,fms_bin,15-20,24780,8.959858035418273,9.285725652665946,-23.994661150510495,0.12778738053127672,0.10019779704864347,-8.959858035418273,0.7240018764766546
stage3_high_standard_huber_lstm,missing_slice,complete_dynamic,183231,3.5877329076172018,4.654187863673487,0.22197518055582588,0.4972279523015138,0.5107544406323024,-0.823859889427703,0.7206527618254084
stage3_high_standard_huber_lstm,missing_slice,missing_dynamic,8988,5.101539255727064,5.935802732429693,-0.0048474482195624,0.14409043699540552,-0.0017281768536475768,-0.4153486170872721,0.5800054130789154
stage3_high_weighted_huber_lstm,fms_bin,0-5,68537,4.185482062447165,5.347369416355467,-13.786336487099936,0.35000880471957885,0.35061519552411213,4.023200000464859,1.2460641546460762
