experiment_id,fold,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage1_60s_ridge_window_stats,4,30352,4.2260261005559165,5.19040147315067,0.137123758733956,0.3715670564893942,0.3599764773422918,0.16858059968355893,0.6379053839999258
stage1_60s_causal_tcn_linear,0,30347,3.8929909090984203,4.8966920789983375,0.1403057467916674,0.4759093936052906,0.46395395678997986,-1.4665625306000982,0.5094629462363516
stage1_60s_causal_tcn_linear,1,30605,4.680467769307886,5.728556284805045,0.054422403822659504,0.31163251647503193,0.3027611937223181,-1.154700811995256,0.6343482530193313
stage1_60s_causal_tcn_linear,2,30516,3.8011388034425084,4.543345723493695,0.13839308595797528,0.3975785263999506,0.38887684448845583,0.6540466491660917,0.5819669862171639
stage1_60s_causal_tcn_linear,3,30505,3.5982329403147335,4.244991247624223,0.007079011905470334,0.440724432057845,0.44347317575371437,1.8221369028297258,0.6051376337722713
stage1_60s_causal_tcn_linear,4,30352,4.2222007827866355,5.182658063582541,0.13969643837404033,0.3750182347577245,0.36542740871375917,0.1704167488882662,0.6377096721716532
stage2_10s_lstm,0,38454,3.861968912184626,4.994638308106179,0.20334316238978234,0.5014879172371766,0.5105846070295214,-1.2099595862753822,0.6585270488915123
stage2_10s_lstm,1,38503,3.881671954191428,4.836052605927441,0.23477179330009545,0.48741796302911244,0.4955247861534049,-0.288993296631156,0.6936078551066106
stage2_10s_lstm,2,38361,3.6704967412096887,4.4355197558778645,0.1850889730564811,0.515636858267997,0.5358103212178479,1.3580062235611479,0.7339800182367341
stage2_10s_lstm,3,38503,3.3073443948713255,4.016914422460801,0.3004355479564573,0.5643664337750058,0.5792346754929533,0.5943725764824193,0.7148247295144323
stage2_10s_lstm,4,38398,3.948187918174117,4.944670363770938,0.22161741079444364,0.4984262682022028,0.5025863803883114,-0.9175148530797205,0.7030312109216644
stage2_10s_causal_tcn,0,38454,3.8622615639967623,4.957479443163547,0.21515292439789757,0.5022745439249767,0.5072180575614617,-1.0781663550740068,0.6506451293635476
stage2_10s_causal_tcn,1,38503,3.84117900383391,4.898354928007298,0.2149280913702325,0.48000938878413046,0.4929978988347348,-0.678445200977321,0.6951684108424943
stage2_10s_causal_tcn,2,38361,3.8646486059710266,4.6194381907607065,0.11610743732771622,0.5268582461665768,0.5486619007960284,1.9249438980144602,0.7454105850772461
stage2_10s_causal_tcn,3,38503,3.2456925697792065,3.9604710112233623,0.31995719259658384,0.5697498448946751,0.5811440321983565,0.3270711927009218,0.7045910522298973
stage2_10s_causal_tcn,4,38398,3.923261012417667,4.899821800537669,0.23567336313584564,0.5166102164267686,0.5187217617034883,-0.9455982633068932,0.696093470944365
stage3_high_standard_huber_lstm,0,38454,3.9608867430473667,5.24000226759332,0.1231482961742113,0.4882045279594223,0.4966075218867676,-1.899090536022441,0.688899759569274
stage3_high_standard_huber_lstm,1,38503,3.816325112291427,4.913625085259651,0.21002568733055327,0.4861150806953862,0.49487398188241577,-0.8642610984307043,0.7102969906889163
stage3_high_standard_huber_lstm,2,38361,3.3449440387010307,4.250254998611436,0.25174240764541267,0.512800376790264,0.5353339630491684,0.293186359290258,0.7237790572815946
stage3_high_standard_huber_lstm,3,38503,3.1860068521671345,3.9502275810844067,0.3234703921710842,0.5699151291498594,0.5829116947477333,0.10253120876642226,0.7159163304183025
stage3_high_standard_huber_lstm,4,38398,3.9845408227715158,5.119746940240756,0.16552099607691217,0.5035117289961534,0.5065597360657584,-1.6558214824962407,0.7315402776535332
stage3_high_weighted_huber_lstm,0,38454,4.002413143216711,5.052877858640657,0.18465614762868843,0.48963667017566725,0.49883843428745955,0.1505435068574346,0.6642803993808265
stage3_high_weighted_huber_lstm,1,38503,4.453383421999595,5.304576303208971,0.07931654485792938,0.47104404583011056,0.48074337414566476,1.7091471906385183,0.729194102826626
stage3_high_weighted_huber_lstm,2,38361,4.085249901260699,5.049322428147999,-0.05605701592299828,0.5092357306264778,0.53365744534331,2.291813310555915,0.7736006823918832
stage3_high_weighted_huber_lstm,3,38503,3.6858339530564566,4.482181183976086,0.1289935116437273,0.5752796806765172,0.593458705026547,1.8256633487935376,0.7470030983928463
stage3_high_weighted_huber_lstm,4,38398,4.021322508090366,5.011701569133893,0.20037046232409028,0.5044357227210018,0.5090584142896997,0.38219213664793267,0.7160821076018848
stage3_high_multitask_high_fms_lstm,0,38454,3.943096131160751,5.2115932963302924,0.13263032570821687,0.4910792858258532,0.4982842718747345,-1.8417796262018196,0.6847229881127139
stage3_high_multitask_high_fms_lstm,1,38503,3.8264801986640333,4.926702187550622,0.20581522292188237,0.4812378107901818,0.49206669828767285,-0.8704688126535796,0.7052587558898685
stage3_high_multitask_high_fms_lstm,2,38361,3.3290164702061875,4.2437788101868374,0.2540209369575799,0.5171489831788888,0.5406210109039866,0.2803160485064429,0.7255391422933406
stage3_high_multitask_high_fms_lstm,3,38503,3.1838802175577827,3.953739296563824,0.32226700048277446,0.5677211384880932,0.5804102087175051,0.020122162972760288,0.7137253843982743
