duration_seconds,fold,model,metric_slice,window_count,window_mae,window_rmse,window_r2,session_macro_mae,session_macro_rmse,raw_pa_id_group_macro_mae,raw_pa_id_group_macro_rmse,train_time_seconds,inference_latency_ms_per_window,parameter_count
10.0,4,mean_fms,complete_dynamic,36743,4.502751571122983,5.522712495445187,-0.014557866402756359,,,,,,,
10.0,4,mean_fms,missing_dynamic,1655,7.428998162045304,8.338424288876267,-0.87279996074874,,,,,,,
10.0,4,ridge_window_stats,,38398,4.065097191246639,5.048266805674812,0.18865974693016074,4.068533707866598,4.642841903949877,4.636299157679541,5.482258108831855,20.976524956524372,0.002266365408593152,37
10.0,4,ridge_window_stats,fms_bin_0-5,11863,3.7766243121577765,4.4229879296438135,-8.807989203615564,,,,,,,
10.0,4,ridge_window_stats,fms_bin_10-15,7800,3.734046938879377,4.442759327761321,-11.491951127079451,,,,,,,
10.0,4,ridge_window_stats,fms_bin_15-20,6226,8.64283337249866,8.979336035102252,-23.540573464528386,,,,,,,
10.0,4,ridge_window_stats,fms_bin_5-10,12509,2.266660886875409,2.690485221099344,-3.290643434787599,,,,,,,
10.0,4,ridge_window_stats,complete_dynamic,36743,3.971347307812969,4.939810119093889,0.1883057615298771,,,,,,,
10.0,4,ridge_window_stats,missing_dynamic,1655,6.14645789638469,7.038109377366982,-0.3342445440512194,,,,,,,
10.0,4,causal_tcn_linear,,38398,4.06193871007122,5.045347508925741,0.1895978344827115,4.0653722595975434,4.639188917918761,4.632853026785313,5.479357331893094,129.34288419783115,0.005108870760314979,97
10.0,4,causal_tcn_linear,fms_bin_0-5,11863,3.771321368768442,4.419700917453939,-8.793416701436659,,,,,,,
10.0,4,causal_tcn_linear,fms_bin_10-15,7800,3.728750495408052,4.440202940182997,-11.477579391515947,,,,,,,
10.0,4,causal_tcn_linear,fms_bin_15-20,6226,8.635857707763131,8.97296889876527,-23.50578296825421,,,,,,,
10.0,4,causal_tcn_linear,fms_bin_5-10,12509,2.2687691453272176,2.6920024037036425,-3.295483844211283,,,,,,,
10.0,4,causal_tcn_linear,complete_dynamic,36743,3.968251373618658,4.937149449504918,0.18917991195703487,,,,,,,
10.0,4,causal_tcn_linear,missing_dynamic,1655,6.1419107966429705,7.030985966858739,-0.3315450799438775,,,,,,,
30.0,0,mean_fms,,35346,4.138867966104392,4.962793580629288,-0.01449949480384749,4.129143263001651,4.654882328627381,4.912314954937064,5.501108324361627,0.0022033974528312683,5.033241766914139e-05,1
30.0,0,mean_fms,fms_bin_0-5,11587,5.686244065581744,5.843725371385036,-17.807125924872267,,,,,,,
30.0,0,mean_fms,fms_bin_10-15,6672,3.7851743162416205,4.0063310583011615,-8.314769437043212,,,,,,,
30.0,0,mean_fms,fms_bin_15-20,3981,8.929357048427992,9.083416645052678,-28.73234210749842,,,,,,,
30.0,0,mean_fms,fms_bin_5-10,13106,1.4957625281758447,1.7317789511586787,-0.9605836599534685,,,,,,,
30.0,0,mean_fms,complete_dynamic,32876,4.061394139155555,4.871775903862576,-0.017935365565438843,,,,,,,
30.0,0,mean_fms,missing_dynamic,2470,5.170054012568439,6.045119651732847,-0.00037477880979941425,,,,,,,
30.0,0,ridge_window_stats,,35346,3.763546262487109,4.612020982909429,0.12384294869919776,3.7662637674225694,4.2246105573357156,4.775874468787701,5.413039137830025,19.176394373178482,0.0022761559557889104,37
