model,fold,slice_type,slice_value,window_count,mae,rmse,bias
ffill_mask_lstm,4,fms_bin,10-15,7800,4.179186683751833,4.864044320404678,-4.179186683751833
ffill_mask_lstm,4,fms_bin,15-20,6226,9.086310376988475,9.370882862712397,-9.086310376988475
ffill_mask_lstm,4,missing_slice,complete_dynamic,36743,3.8706046929771283,4.985000017490004,-1.4571477400983381
ffill_mask_lstm,4,missing_slice,missing_dynamic,1655,6.058033048422315,6.853546573720207,-3.6338642749901626
ffill_mask_lstm,4,missing_block_class,no_missing,36743,3.8706046929771283,4.985000017490004,-1.4571477400983381
ffill_mask_lstm,4,missing_block_class,short_contiguous_missing,766,5.848771632184559,6.637224290022329,-4.055988618350216
ffill_mask_lstm,4,missing_block_class,long_contiguous_missing,889,6.2383415353043405,7.034605759208454,-3.27014408712312
ffill_mask_time_lstm,0,fms_bin,0-5,11791,2.4425185727649503,3.2013227017116,2.1197625365904114
ffill_mask_time_lstm,0,fms_bin,5-10,13072,2.271262278766662,2.7403628806091915,-0.18289370732005764
ffill_mask_time_lstm,0,fms_bin,10-15,7645,4.410070628941332,5.071334111040479,-4.3858511357115635
ffill_mask_time_lstm,0,fms_bin,15-20,5946,9.901551435080354,10.231119000951818,-9.901551435080354
ffill_mask_time_lstm,0,missing_slice,complete_dynamic,36577,3.8759436596679033,5.158043447075185,-1.866540258821053
ffill_mask_time_lstm,0,missing_slice,missing_dynamic,1877,4.959456873244914,5.879201956190807,-0.8144273797311107
ffill_mask_time_lstm,0,missing_block_class,no_missing,36577,3.8759436596679033,5.158043447075185,-1.866540258821053
ffill_mask_time_lstm,0,missing_block_class,short_contiguous_missing,861,4.5495588137020775,5.426808085729125,-0.3944572618752545
ffill_mask_time_lstm,0,missing_block_class,long_contiguous_missing,1016,5.306821272129149,6.2369448338299565,-1.170327253229036
ffill_mask_time_lstm,1,fms_bin,0-5,13179,3.0304103796078117,3.8077912690656803,2.8997760968655517
ffill_mask_time_lstm,1,fms_bin,5-10,13820,2.310222175527585,2.8063131088586983,0.4309492621899686
ffill_mask_time_lstm,1,fms_bin,10-15,5788,4.161885357358247,4.912584371715711,-4.096750124547509
ffill_mask_time_lstm,1,fms_bin,15-20,5716,8.932395046828425,9.219511597871778,-8.932395046828425
ffill_mask_time_lstm,1,missing_slice,complete_dynamic,36568,3.753473025318166,4.8559678986665435,-0.9349867585819077
ffill_mask_time_lstm,1,missing_slice,missing_dynamic,1935,5.041142018019999,5.713941755778987,1.8567979138642934
ffill_mask_time_lstm,1,missing_block_class,no_missing,36568,3.753473025318166,4.8559678986665435,-0.9349867585819077
ffill_mask_time_lstm,1,missing_block_class,short_contiguous_missing,828,4.684073938551732,5.4202393526411585,1.2417945139074096
ffill_mask_time_lstm,1,missing_block_class,long_contiguous_missing,1107,5.308217329492199,5.924110530910614,2.316800456921475
ffill_mask_time_lstm,2,fms_bin,0-5,16880,3.223545853497893,4.030326646440545,3.040115284000775
ffill_mask_time_lstm,2,fms_bin,5-10,12919,2.3984908979322364,2.7785886964073403,0.8662341112220922
ffill_mask_time_lstm,2,fms_bin,10-15,5197,3.384591298904331,4.102436726987613,-3.3232289459330544
ffill_mask_time_lstm,2,fms_bin,15-20,3365,8.04997397262664,8.359378349277334,-8.04997397262664
ffill_mask_time_lstm,2,missing_slice,complete_dynamic,36448,3.335364719990582,4.200879587743385,0.4182577075169334
ffill_mask_time_lstm,2,missing_slice,missing_dynamic,1913,4.4485457404645645,5.279912604464646,1.5182353911821094
ffill_mask_time_lstm,2,missing_block_class,no_missing,36448,3.335364719990582,4.200879587743385,0.4182577075169334
ffill_mask_time_lstm,2,missing_block_class,short_contiguous_missing,887,4.103088747420198,4.908347126681494,1.0922084378819858
ffill_mask_time_lstm,2,missing_block_class,long_contiguous_missing,1026,4.747201055114032,5.5812380355954705,1.8865452426218847
ffill_mask_time_lstm,3,fms_bin,0-5,14824,2.8836010100749205,3.5612098954061095,2.6947321864242046
ffill_mask_time_lstm,3,fms_bin,5-10,14221,2.1906789973159184,2.569936225025105,0.4696998632446253
ffill_mask_time_lstm,3,fms_bin,10-15,5931,3.63371467779266,4.261372417288352,-3.6213704920643157
ffill_mask_time_lstm,3,fms_bin,15-20,3527,7.468316674942264,7.675332977990093,-7.468316674942264
ffill_mask_time_lstm,3,missing_slice,complete_dynamic,36895,3.0844797125287875,3.8410909454078097,0.04545461925036669
ffill_mask_time_lstm,3,missing_slice,missing_dynamic,1608,4.969268076455415,5.7442192317944585,-1.7847249946784025
ffill_mask_time_lstm,3,missing_block_class,no_missing,36895,3.0844797125287875,3.8410909454078097,0.04545461925036669
ffill_mask_time_lstm,3,missing_block_class,short_contiguous_missing,695,4.629477817206074,5.4031912215410705,-1.4360342142393263
ffill_mask_time_lstm,3,missing_block_class,long_contiguous_missing,913,5.2279255027186045,5.990819499227935,-2.050157735538378
ffill_mask_time_lstm,4,fms_bin,0-5,11863,2.7651278062339757,3.575714562681589,2.5086130208762816
ffill_mask_time_lstm,4,fms_bin,5-10,12509,2.2378530651223736,2.685696845896881,-0.34841581879592987
ffill_mask_time_lstm,4,fms_bin,10-15,7800,4.4127296185455265,5.0665689987644695,-4.4127296185455265
ffill_mask_time_lstm,4,fms_bin,15-20,6226,9.339903274055006,9.61516621055365,-9.339903274055006
ffill_mask_time_lstm,4,missing_slice,complete_dynamic,36743,3.893394974183771,5.047070885607798,-1.6514291903703373
ffill_mask_time_lstm,4,missing_slice,missing_dynamic,1655,6.229928960396804,7.029588352638108,-3.92128294731555
ffill_mask_time_lstm,4,missing_block_class,no_missing,36743,3.893394974183771,5.047070885607798,-1.6514291903703373
ffill_mask_time_lstm,4,missing_block_class,short_contiguous_missing,766,6.023796953980668,6.823293235317152,-4.192607896757499
ffill_mask_time_lstm,4,missing_block_class,long_contiguous_missing,889,6.407541015419032,7.202603564227417,-3.687497895265457
